experiment_accession	experiment_title	organism_name	instrument	submitter	study_accession	study_title	sample_accession	sample_title	total_size_mb	total_runs	total_spots	total_bases	library_name	library_strategy	library_source	library_selection	bioproject	publication_url	publication_doi	publication_title	excluded	exclusion_criteria	oligo_dt_annotated	blood_meal_hour	sex.x	contam	pool_size	tissue.x	source	run_accession	experiment_desc	organism_taxid	library_layout	instrument_model	instrument_model_desc	total_size	run_total_spots	run_total_bases	run_alias	public_filename	public_size	public_date	public_md5	public_version	public_semantic_name	public_supertype	public_sratoolkit	aws_url	aws_free_egress	aws_access_type	public_url	ncbi_url	ncbi_free_egress	ncbi_access_type	gcp_url	gcp_free_egress	gcp_access_type	experiment_alias	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue.y	dev_stage	sex.y	biosamplemodel	age	analysis_type	data_type	gssr_id	library_type	lsid	material_type	product_order	product_part_number	project	research_project	root_sample_id	sample_id	work_request	rna isolation method	collection date	strain	specific host	"geographic location (country and/or sea, region)"	analyte type	isolation-source	rna isolation	sample_type	tissue_type	label	id	ena_fastq_http	ena_fastq_http_1	ena_fastq_http_2	ena_fastq_ftp	ena_fastq_ftp_1	ena_fastq_ftp_2
SRX841084	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205941' containing sample 'AAE2-3'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052154	Arthropod Cell Line RNA Seq	SRS817620	NA	369.66	2	4265978	648428656	Solexa-205941	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238783	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1756101	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205941' containing sample 'AAE2-3'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	387615775	2197597	334034744	H7A1YADXX131213.1.tagged_581.bam	SRR1756101.sralite	83970357	2020-06-23T08:03:48Z	b4909bb4e36c7ef059c716dc9c0751c0	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-6/SRR1756101/SRR1756101.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/756/SRR1756101/SRR1756101.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/756/SRR1756101/SRR1756101.sralite.1	worldwide	anonymous	gs://sra-pub-zq-2/SRR1756101/SRR1756101.zq.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448006	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2J	RNA:Total RNA	PDO-2348	P-RNA-0001	G50975	RP-510	SM-49JMX	SM-57M2J	39145	missing	9/14/00	AAE2-3	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/001/SRR1756101/SRR1756101_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/001/SRR1756101/SRR1756101_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/001/SRR1756101/SRR1756101_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/001/SRR1756101/SRR1756101_2.fastq.gz
SRX841072	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205932' containing sample 'AAE1-4'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052123	Arthropod Cell Line RNA Seq	SRS817573	NA	372.77	2	4312348	655476896	Solexa-205932	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238776	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1756048	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205932' containing sample 'AAE1-4'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	390877986	2221513	337669976	H7A1YADXX131213.1.tagged_509.bam	SRR1756048.sralite	84877596	2021-06-14T20:50:13Z	104fbd20fd8135ef3cbe115029a824f1	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-8/SRR1756048/SRR1756048.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/756/SRR1756048/SRR1756048.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/756/SRR1756048/SRR1756048.sralite.1	worldwide	anonymous	gs://sra-pub-zq-2/SRR1756048/SRR1756048.noqual.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448003	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2A	RNA:Total RNA	PDO-2348	P-RNA-0001	G50968	RP-510	SM-49JMQ	SM-57M2A	39145	missing	9/14/00	AAE1-4	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/008/SRR1756048/SRR1756048_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/008/SRR1756048/SRR1756048_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/008/SRR1756048/SRR1756048_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/008/SRR1756048/SRR1756048_2.fastq.gz
SRX841072	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205932' containing sample 'AAE1-4'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052123	Arthropod Cell Line RNA Seq	SRS817573	NA	372.77	2	4312348	655476896	Solexa-205932	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238776	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1765128	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205932' containing sample 'AAE1-4'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	390877986	2090835	317806920	H7A1YADXX131213.2.tagged_509.bam	SRR1765128.sralite	79869779	2020-06-13T03:06:37Z	002dd2f2fa4f5a1a9e5bc1a4a2e4bc4d	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-1/SRR1765128/SRR1765128.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/765/SRR1765128/SRR1765128.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/765/SRR1765128/SRR1765128.sralite.1	worldwide	anonymous	gs://sra-pub-zq-4/SRR1765128/SRR1765128.zq.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448003	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2A	RNA:Total RNA	PDO-2348	P-RNA-0001	G50968	RP-510	SM-49JMQ	SM-57M2A	39145	missing	9/14/00	AAE1-4	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1765128/SRR1765128_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1765128/SRR1765128_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR176/008/SRR1765128/SRR1765128_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR176/008/SRR1765128/SRR1765128_2.fastq.gz
SRX841010	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205941' containing sample 'AAE2-3'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052154	Arthropod Cell Line RNA Seq	SRS817620	NA	366.43	2	4191418	637095536	Solexa-205941	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238783	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1755946	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205941' containing sample 'AAE2-3'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	384232171	2104094	319822288	H7A2CADXX131213.2.tagged_581.bam	SRR1755946.sralite	80380878	2020-06-20T21:06:28Z	827d64e0270a39f8741ad6ec063e25b1	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-7/SRR1755946/SRR1755946.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/755/SRR1755946/SRR1755946.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/755/SRR1755946/SRR1755946.sralite.1	worldwide	anonymous	gs://sra-pub-zq-4/SRR1755946/SRR1755946.zq.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448006	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2J	RNA:Total RNA	PDO-2348	P-RNA-0001	G50975	RP-510	SM-49JMX	SM-57M2J	39145	missing	9/14/00	AAE2-3	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/006/SRR1755946/SRR1755946_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/006/SRR1755946/SRR1755946_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/006/SRR1755946/SRR1755946_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/006/SRR1755946/SRR1755946_2.fastq.gz
SRX841010	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205941' containing sample 'AAE2-3'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052154	Arthropod Cell Line RNA Seq	SRS817620	NA	366.43	2	4191418	637095536	Solexa-205941	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238783	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1765248	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205941' containing sample 'AAE2-3'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	384232171	2087324	317273248	H7A2CADXX131213.1.tagged_581.bam	SRR1765248.sralite	79760730	2020-06-21T22:46:57Z	88005e87fe3487e6fa0fc6b407b8228c	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR1765248/SRR1765248.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/765/SRR1765248/SRR1765248.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/765/SRR1765248/SRR1765248.sralite.1	worldwide	anonymous	gs://sra-pub-zq-4/SRR1765248/SRR1765248.zq.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448006	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2J	RNA:Total RNA	PDO-2348	P-RNA-0001	G50975	RP-510	SM-49JMX	SM-57M2J	39145	missing	9/14/00	AAE2-3	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1765248/SRR1765248_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1765248/SRR1765248_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR176/008/SRR1765248/SRR1765248_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR176/008/SRR1765248/SRR1765248_2.fastq.gz
SRX840991	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205942' containing sample 'AAE2-4'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052106	Arthropod Cell Line RNA Seq	SRS817551	NA	356.08	2	4087277	621266104	Solexa-205942	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238784	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1755923	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205942' containing sample 'AAE2-4'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	373380158	2051566	311838032	H7A2CADXX131213.2.tagged_657.bam	SRR1755923.sralite	78382972	2021-06-15T07:48:08Z	e0c45669d3dbb44b9f86230e69aaac52	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-8/SRR1755923/SRR1755923.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/755/SRR1755923/SRR1755923.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/755/SRR1755923/SRR1755923.sralite.1	worldwide	anonymous	gs://sra-pub-zq-4/SRR1755923/SRR1755923.noqual.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448007	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2K	RNA:Total RNA	PDO-2348	P-RNA-0001	G50976	RP-510	SM-49JMY	SM-57M2K	39145	missing	9/14/00	AAE2-4	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRX840991	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205942' containing sample 'AAE2-4'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052106	Arthropod Cell Line RNA Seq	SRS817551	NA	356.08	2	4087277	621266104	Solexa-205942	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238784	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1764971	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205942' containing sample 'AAE2-4'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	373380158	2035711	309428072	H7A2CADXX131213.1.tagged_657.bam	SRR1764971.sralite	77794782	2021-06-15T02:35:14Z	99ccf16f2362d82cb093df273ff3d611	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-8/SRR1764971/SRR1764971.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/764/SRR1764971/SRR1764971.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/764/SRR1764971/SRR1764971.sralite.1	worldwide	anonymous	gs://sra-pub-zq-2/SRR1764971/SRR1764971.noqual.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448007	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2K	RNA:Total RNA	PDO-2348	P-RNA-0001	G50976	RP-510	SM-49JMY	SM-57M2K	39145	missing	9/14/00	AAE2-4	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRX840990	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205940' containing sample 'AAE2-2'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052091	Arthropod Cell Line RNA Seq	SRS817536	NA	247.97	2	2874959	436993768	Solexa-205940	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238782	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1755922	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205940' containing sample 'AAE2-2'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	260015179	1489269	226368888	H7A1YADXX131213.1.tagged_559.bam	SRR1755922.sralite	56937392	2021-06-15T02:33:55Z	297747cf226d34627e61ef9c711ad6d0	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-8/SRR1755922/SRR1755922.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/755/SRR1755922/SRR1755922.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/755/SRR1755922/SRR1755922.sralite.1	worldwide	anonymous	gs://sra-pub-zq-3/SRR1755922/SRR1755922.noqual.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448005	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2I	RNA:Total RNA	PDO-2348	P-RNA-0001	G50974	RP-510	SM-49JMW	SM-57M2I	39145	missing	9/14/00	AAE2-2	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/002/SRR1755922/SRR1755922_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/002/SRR1755922/SRR1755922_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/002/SRR1755922/SRR1755922_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/002/SRR1755922/SRR1755922_2.fastq.gz
SRX840990	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205940' containing sample 'AAE2-2'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052091	Arthropod Cell Line RNA Seq	SRS817536	NA	247.97	2	2874959	436993768	Solexa-205940	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238782	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1765217	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205940' containing sample 'AAE2-2'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	260015179	1385690	210624880	H7A1YADXX131213.2.tagged_559.bam	SRR1765217.sralite	52967630	2021-06-15T02:35:22Z	8f8f4855d0e51544988730239baf028a	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-8/SRR1765217/SRR1765217.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/765/SRR1765217/SRR1765217.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/765/SRR1765217/SRR1765217.sralite.1	worldwide	anonymous	gs://sra-pub-zq-2/SRR1765217/SRR1765217.noqual.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448005	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2I	RNA:Total RNA	PDO-2348	P-RNA-0001	G50974	RP-510	SM-49JMW	SM-57M2I	39145	missing	9/14/00	AAE2-2	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1765217/SRR1765217_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1765217/SRR1765217_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR176/007/SRR1765217/SRR1765217_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR176/007/SRR1765217/SRR1765217_2.fastq.gz
SRX840984	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205930' containing sample 'AAE1-2'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052108	Arthropod Cell Line RNA Seq	SRS817553	NA	285.73	2	3266633	496528216	Solexa-205930	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238774	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1755912	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205930' containing sample 'AAE1-2'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	299610799	1643438	249802576	H7A2CADXX131213.2.tagged_355.bam	SRR1755912.sralite	62801074	2021-06-15T11:34:47Z	7489803478bc9e3796fdc16a69187d82	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-8/SRR1755912/SRR1755912.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/755/SRR1755912/SRR1755912.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/755/SRR1755912/SRR1755912.sralite.1	worldwide	anonymous	gs://sra-pub-zq-4/SRR1755912/SRR1755912.noqual.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448001	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M28	RNA:Total RNA	PDO-2348	P-RNA-0001	G50966	RP-510	SM-49JMO	SM-57M28	39145	missing	9/14/00	AAE1-2	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/002/SRR1755912/SRR1755912_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/002/SRR1755912/SRR1755912_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/002/SRR1755912/SRR1755912_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/002/SRR1755912/SRR1755912_2.fastq.gz
SRX840984	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205930' containing sample 'AAE1-2'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052108	Arthropod Cell Line RNA Seq	SRS817553	NA	285.73	2	3266633	496528216	Solexa-205930	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238774	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1765232	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205930' containing sample 'AAE1-2'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	299610799	1623195	246725640	H7A2CADXX131213.1.tagged_355.bam	SRR1765232.sralite	62044244	2021-06-16T09:56:00Z	6925f7c00462b1d9b026e52e8061f725	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-8/SRR1765232/SRR1765232.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/765/SRR1765232/SRR1765232.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/765/SRR1765232/SRR1765232.sralite.1	worldwide	anonymous	gs://sra-pub-zq-2/SRR1765232/SRR1765232.noqual.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448001	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M28	RNA:Total RNA	PDO-2348	P-RNA-0001	G50966	RP-510	SM-49JMO	SM-57M28	39145	missing	9/14/00	AAE1-2	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1765232/SRR1765232_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1765232/SRR1765232_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR176/002/SRR1765232/SRR1765232_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR176/002/SRR1765232/SRR1765232_2.fastq.gz
SRX840981	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205932' containing sample 'AAE1-4'	Amblyomma americanum	Illumina HiSeq 2000	BI	SRP052123	Arthropod Cell Line RNA Seq	SRS817573	NA	370.44	2	4231410	643174320	Solexa-205932	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PRJNA238776	unknown	unknown	unknown	keep	NA	unknown	NA	unknown	NA	NA	cell_line	unknown	SRR1755913	Illumina RNA sequencing of transcriptome paired-end library 'Solexa-205932' containing sample 'AAE1-4'	6943	PAIRED	Illumina HiSeq 2000	ILLUMINA	388431287	2105000	319960000	H7A2CADXX131213.1.tagged_509.bam	SRR1755913.sralite	80429120	2021-06-14T20:50:10Z	435dae4a307e8070067c1affc2731625	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-8/SRR1755913/SRR1755913.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/755/SRR1755913/SRR1755913.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/755/SRR1755913/SRR1755913.sralite.1	worldwide	anonymous	gs://sra-pub-zq-2/SRR1755913/SRR1755913.noqual.1	gs.US	gcp identity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Microbe, viral or environmental"	NA	AssemblyWithoutReference	RNA	448003	cDNAShotgunStrandAgnostic	broadinstitute.org:bsp.prod.sample:57M2A	RNA:Total RNA	PDO-2348	P-RNA-0001	G50968	RP-510	SM-49JMQ	SM-57M2A	39145	missing	9/14/00	AAE1-4	missing	"Bluegrass Army Depot, KY"	RNA	Embryo	missing	missing	NA	NA	NA	NA	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/003/SRR1755913/SRR1755913_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/003/SRR1755913/SRR1755913_2.fastq.gz	NA	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/003/SRR1755913/SRR1755913_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR175/003/SRR1755913/SRR1755913_2.fastq.gz
